Index,STRUCTURE_NUMBER_008,STRUCTURE_LEN_MT_049,DECK_WIDTH_MT_052,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,Road_class,FUTURE_ADT_114,PERCENT_ADT_TRUCK_109,DETOUR_KILOS_019,HAZUS_classficiation,site_class,DEGREES_SKEW_034,MAIN_UNIT_SPANS_045,maint_duration,rehab_duration,recon_duration,Age,DECK_STRUCTURE_TYPE_107,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,Vertical_clearance
1285,13140,15.2,9.2,5,5,Minor,4890,0.01,5,HWB3,B,0,1,30,180,360,3,1,7,6,7,99.99
1286,13150,25,12.3,2,1,Minor,6157,0.04,27,HWB10,B,30,3,30,180,360,26,1,6,6,7,99.99
1288,13171,17.3,21.1,5,6,Minor,5545,0.12,8,HWB3,B,0,1,30,180,360,11,1,7,8,7,99.99
1289,13180,18.9,14.7,2,1,Minor,6162,0.09,10,HWB10,B,45,3,30,180,360,11,1,7,7,7,99.99
1292,13220,25.7,14.2,2,1,Minor,5150,0.09,8,HWB10,B,10,3,30,180,360,4,1,7,7,8,99.99
1293,13230,33.8,14.2,2,1,Minor,5150,0.09,8,HWB10,B,0,3,30,180,360,4,1,7,7,7,99.99
1294,13240,9.8,10.7,1,11,Minor,4700,0.1,19,HWB3,B,0,1,30,180,360,5,1,7,7,7,99.99
1295,13250,50,16.2,2,1,Minor,4795,0.1,6,HWB10,B,55,5,30,180,360,35,1,5,5,7,99.99
1296,13260,64.5,11.1,2,2,Minor,7950,0.06,13,HWB10,B,0,4,30,180,360,4,1,8,6,6,99.99
1297,13270,9.4,10.7,1,2,Minor,3590,0.1,5,HWB3,B,30,1,30,180,360,84,1,6,6,7,99.99
